style,new_filename,artist_group,in_train,title,source,size_bytes,pixelsy,pixelsx,genre,date,artist
Romanticism,62387.jpg,train_and_test,TRUE,Rustic life ,wikiart,3426936,4266,3999,genre painting,1887,Akseli Gallen-Kallela
Romanticism,22404.jpg,train_only,TRUE,Portrait of a young lady,wikiart,3681084,4683,3618,portrait,1906,Alfred Stevens
Romanticism,41164.jpg,train_and_test,TRUE,"A Minatarre or Big bellied indian, plate 17 from Volume 2 of 'Travels in the Interior of North America'",wikiart,3824113,4731,3528,portrait,1843,Karl Bodmer
Realism,88558.jpg,train_and_test,TRUE,The Reaper,wikiart,9760913,3180,5166,genre painting,c.1878,Ferdinand Hodler
Impressionism,49757.jpg,train_and_test,TRUE,"The Manneport, Rock Arch West of Etretat",wikiart,4873803,3611,4540,landscape,1883,Claude Monet
Romanticism,45523.jpg,train_and_test,TRUE,A morning in Interlaken,wikiart,11564302,3408,4806,landscape,1875,Ferdinand Hodler
Realism,17680.jpg,train_and_test,TRUE,Portraits ,wikiart,4644714,4839,3380,portrait,,Thomas Eakins
Romanticism,62013.jpg,train_and_test,TRUE,"The Interior of a Hut of a Mandan Chief, plate 19 from Volume 2 of 'Travels in the Interior of North America'",wikiart,3468976,3392,4811,interior,1844,Karl Bodmer
Realism,47501.jpg,train_and_test,TRUE,Landscape at the Jonction at Geneva,wikiart,9386018,3384,4812,landscape,1878,Ferdinand Hodler
Romanticism,95342.jpg,train_and_test,TRUE,"Buffalo-Dance of the Mandan Indians in front of their Medicine Lodge in Mih-Tutta-Hankush, plate 18 from Volume 2 of 'Travels in the Interior of North America'",wikiart,4055351,3360,4811,genre painting,1843,Karl Bodmer
Impressionism,53841.jpg,train_and_test,TRUE,Rodez,wikiart,8730590,3600,4464,cityscape,c.1923,Paul Signac
Romanticism,99889.jpg,train_and_test,TRUE,"Wahk-Ta-Ge-Li, a Sioux Warrior, plate 8 from Volume 2 of 'Travels in the Interior of North America'",wikiart,3700164,4755,3376,portrait,1844,Karl Bodmer
Realism,1589.jpg,train_and_test,FALSE,Spanish landscape,wikiart,10259213,4260,3756,landscape,1878,Ferdinand Hodler
Realism,20616.jpg,train_and_test,FALSE,Olive trees in Spain,wikiart,9504538,3516,4488,landscape,1878,Ferdinand Hodler
Realism,86917.jpg,train_and_test,TRUE,Portraits ,wikiart,3537065,4792,3284,portrait,,Thomas Eakins
Realism,5303.jpg,train_and_test,TRUE,Lady in Blue. Portrait of the Artist Yelizaveta Martynova,wikiart,5335481,4000,3929,portrait,1900,Konstantin Somov
Romanticism,50480.jpg,train_and_test,TRUE,"A Missouri Indian, an Oto Indian and the Chief of the Puncas, plate 7 from 'Travels in the Interior of North America'",wikiart,2790279,3528,4410,portrait,1844,Karl Bodmer
Romanticism,39644.jpg,train_and_test,TRUE,View of Bad Gastein,wikiart,10202901,4572,3342,landscape,1888,Rudolf von Alt
Romanticism,101078.jpg,train_and_test,TRUE,At the Jonction,wikiart,9527119,3246,4704,landscape,c.1880,Ferdinand Hodler
Realism,49829.jpg,train_and_test,TRUE,The Courtship,wikiart,2691926,3528,4320,genre painting,1876,Thomas Eakins
Impressionism,85018.jpg,train_and_test,FALSE,Sitting Girl,wikiart,8423735,3396,4476,sketch and study,1917,Pierre-Auguste Renoir
Realism,97649.jpg,train_and_test,TRUE,Girls in henhouse,wikiart,9934174,4632,3276,genre painting,1897,Koloman Moser
Romanticism,46316.jpg,train_and_test,TRUE,"Encampment of the Piekann Indians, plate 43 from Volume 2 of 'Travels in the Interior of North America'",wikiart,3213039,3288,4562,genre painting,1844,Karl Bodmer
Impressionism,81912.jpg,train_and_test,TRUE,The Look at Montauban in rain,wikiart,8710775,3348,4470,landscape,c.1922,Paul Signac
Impressionism,17146.jpg,train_and_test,TRUE,Prayer in the Saint Pierre Cathedral in Geneva,wikiart,9477034,4548,3240,genre painting,1882,Ferdinand Hodler
Realism,31655.jpg,train_and_test,TRUE,Portraits ,wikiart,2615324,4784,3061,portrait,,Thomas Eakins
Romanticism,44054.jpg,train_and_test,TRUE,"Noapeh, an Assiniboin Indian and Psihdja-Sahpa, a Yanktonan Indian, plate 12 from Volume 2 of 'Travels in the Interior of North America'",wikiart,3096063,3384,4322,portrait,1844,Karl Bodmer
Romanticism,49235.jpg,train_and_test,FALSE,View of the Ducal Palace in Venice,wikiart,9717534,3438,4248,cityscape,1874,Rudolf von Alt
Romanticism,79781.jpg,train_and_test,TRUE,"Pehriska-Ruhpa, Minatarre Warrior in the Costume of the Dog Dance, plate 23 from Volume 2 of 'Travels in the Interior of North America'",wikiart,3682091,4466,3256,genre painting,1844,Karl Bodmer
Impressionism,66594.jpg,train_and_test,FALSE,Seamstress,wikiart,9468048,4284,3384,genre painting,1885,Ferdinand Hodler
Romanticism,82310.jpg,train_and_test,TRUE,The Duke of Wellington,wikiart,4770134,4226,3406,portrait,1814,Francisco Goya
Romanticism,39533.jpg,train_and_test,TRUE,Reading the Will ,wikipedia,7374950,3042,4692,genre painting,1821,David Wilkie
Romanticism,95359.jpg,train_and_test,TRUE,Mandan indians,wikiart,3882309,4194,3392,portrait,1843,Karl Bodmer
Impressionism,5241.jpg,train_and_test,TRUE,Girl with Peaches ,wikiart,7852273,4000,3555,portrait,1887,Valentin Serov
Realism,3965.jpg,train_and_test,FALSE,At the foot of the Salève,wikiart,10692967,3036,4680,landscape,1890,Ferdinand Hodler
Romanticism,25503.jpg,train_and_test,TRUE,Louis Antoine de Saint Just,wikiart,1242179,4387,3212,portrait,1793,Pierre-Paul Prud'hon
Romanticism,89279.jpg,train_and_test,TRUE,"Chief of the Blood Indians, War Chief of the Piekann Indians and a Koutani Indian, plate 46 from Volume 2 of 'Travels in the Interior of North America'",wikiart,3165793,3240,4338,portrait,1844,Karl Bodmer
Realism,55948.jpg,train_and_test,TRUE,The fresh cavalier,wikiart,8840575,4000,3509,genre painting,1846,Pavel Fedotov
Realism,8362.jpg,train_and_test,TRUE,Christ in the Wilderness,wikiart,8634732,3507,4000,religious painting,1872,Ivan Kramskoy
Realism,9348.jpg,train_and_test,TRUE,L'Internationale  ,wikiart,2782783,4320,3240,illustration,1895,Theophile Steinlen
Romanticism,25251.jpg,train_and_test,TRUE,The Subsiding of the Waters of the Deluge,wikiart,4728256,3240,4320,landscape,1829,Thomas Cole
Impressionism,8943.jpg,train_and_test,TRUE,Samoëns,wikiart,8639906,3258,4296,cityscape,c.1882,Ferdinand Hodler
Romanticism,35557.jpg,train_and_test,TRUE,The St. Stephen's Cathedral in Vienna,wikiart,9442520,4818,2880,cityscape,1847,Rudolf von Alt
Realism,17862.jpg,train_and_test,TRUE,Pastures at the Jonction at Geneva,wikiart,8279676,3378,4104,landscape,1878,Ferdinand Hodler
Realism,40855.jpg,train_and_test,TRUE,Portraits ,wikiart,4040248,4841,2863,portrait,,Thomas Eakins
Realism,393.jpg,train_and_test,TRUE,The Blower,wikiart,3300702,4665,2965,portrait,,Nicolae Grigorescu
Romanticism,19040.jpg,train_and_test,FALSE,Portrait of Alexander Pushkin ,wikiart,10862180,4000,3455,portrait,1827,Orest Kiprensky
Romanticism,1049.jpg,train_only,TRUE,Purrumbete from across the lake ,wikiart,3375727,2862,4793,landscape,1858,Eugene von Guerard
Realism,254.jpg,train_and_test,TRUE,The widow,wikiart,2188854,4392,3101,portrait,,Anders Zorn
Impressionism,22289.jpg,train_and_test,FALSE,The banks of the Loing Moret,wikiart,7207696,3042,4476,landscape,1885,Alfred Sisley
Impressionism,8250.jpg,train_and_test,TRUE,Le Havre with rain clouds,wikiart,7731924,3036,4482,cityscape,1922,Paul Signac
Romanticism,47312.jpg,train_and_test,TRUE,The main square in Bratislava,wikiart,9044942,3204,4236,cityscape,1843,Rudolf von Alt
Romanticism,32252.jpg,train_and_test,TRUE,View of Ragusa,wikiart,6971764,3276,4122,landscape,1841,Rudolf von Alt
Romanticism,81776.jpg,train_and_test,TRUE,"Woman of the Snake tribe and woman of the Cree tribe, plate 33  from Volume 1 of 'Travels in the Interior of North America'",wikiart,2610544,3240,4162,portrait,1832,Karl Bodmer
Romanticism,25480.jpg,train_and_test,TRUE,Interior in Palace Windischgratz in the race in Vienna,wikiart,8415204,3174,4242,interior,1848,Rudolf von Alt
Romanticism,56338.jpg,train_and_test,TRUE,The iron foundry in Kitschelt Skodagasse in Vienna,wikiart,9360592,3174,4242,cityscape,1903,Rudolf von Alt
Impressionism,99956.jpg,train_and_test,TRUE,Seated bearded man,wikiart,8758806,4536,2964,portrait,1884,Ferdinand Hodler
Romanticism,85839.jpg,train_and_test,TRUE,"A Mandan village, plate 16 from Volume 1 of 'Travels in the Interior of North America'",wikiart,2973213,3280,4090,landscape,1843,Karl Bodmer
Romanticism,30031.jpg,train_and_test,TRUE,Count Casimir Batthyány in his saloon at Castle Siklós,wikiart,9332308,3174,4224,genre painting,1844,Rudolf von Alt
Romanticism,28530.jpg,train_and_test,TRUE,"Funeral Scaffold of a Sioux Chief near Fort Pierre, plate 11 from Volume 2 of 'Travels in the Interior of North America'",wikiart,3224183,3344,3986,genre painting,1844,Karl Bodmer
Romanticism,16339.jpg,train_and_test,FALSE,The Pia of Tolomei,wikiart,8741918,3426,3882,literary painting,1880,Dante Gabriel Rossetti
Romanticism,47838.jpg,train_and_test,TRUE,View of Klosterneuburg,wikiart,8833470,3690,3600,cityscape,1890,Rudolf von Alt
Romanticism,38694.jpg,train_and_test,TRUE,The courtyard of the Doge's Palace in Venice,wikiart,9216608,3132,4230,cityscape,1867,Rudolf von Alt
Romanticism,23382.jpg,train_and_test,TRUE,A portrait of a young girl ,wikiart,1910217,4041,3278,portrait,1889,Leon Bonnat
Realism,38172.jpg,train_and_test,FALSE,At the Piano,wikiart,3996662,4017,3290,genre painting,c.1871,Thomas Eakins
Romanticism,186.jpg,train_and_test,TRUE,Lake Traun,wikiart,7063983,3258,4056,landscape,1840,Rudolf von Alt
Romanticism,40401.jpg,train_and_test,TRUE,Study of a Dapple Grey,wikiart,3591444,3287,4019,animal painting,1824,Theodore Gericault
Realism,57598.jpg,train_and_test,TRUE,Sunset at the seashore,wikiart,1844683,2924,4504,landscape,,Konstantinos Volanakis
Realism,73905.jpg,train_and_test,FALSE,Battle scenes,wikiart,6486290,2640,4986,sketch and study,c.1896,Ferdinand Hodler
Romanticism,88229.jpg,train_and_test,FALSE,"Dr. Washington Epps, My Doctor",wikiart,2562976,3884,3383,portrait,1885,Sir Lawrence Alma-Tadema
Romanticism,50103.jpg,train_and_test,TRUE,The Town Hall in Mödling,wikiart,7830740,3102,4224,cityscape,1842,Rudolf von Alt
Impressionism,93353.jpg,train_and_test,TRUE,At the Beach in Nice,wikiart,693550,2907,4480,genre painting,1882,Berthe Morisot
Realism,26366.jpg,train_and_test,TRUE,The Garden Arbor,wikiart,1991857,3079,4224,illustration,1880,Fyodor Bronnikov
Romanticism,28188.jpg,train_and_test,TRUE,The Basilica of Santa Maria Maggiore in Rome,wikiart,7209113,3198,4062,cityscape,1837,Rudolf von Alt
Realism,77220.jpg,train_and_test,TRUE,Model at rest ,wikiart,478314,3849,3352,sketch and study,,Theophile Steinlen
Romanticism,4771.jpg,train_and_test,TRUE,Portrait of Alexander Chelishchev,wikiart,4791295,4000,3218,portrait,c.1809,Orest Kiprensky
Impressionism,95477.jpg,train_and_test,TRUE,Saint Paul de Vence,wikiart,6325370,2856,4506,landscape,c.1921,Paul Signac
Romanticism,97187.jpg,train_and_test,TRUE,View from the Monastery of Sant 'Onofrio in Rome,wikiart,8610981,3036,4236,cityscape,1835,Rudolf von Alt
Romanticism,31199.jpg,train_and_test,TRUE,Motif from Goisern,wikiart,8963868,3036,4230,genre painting,1903,Rudolf von Alt
Romanticism,55370.jpg,train_and_test,FALSE,Scalp dance of the Minatarres,wikiart,2587021,3156,4064,genre painting,1843,Karl Bodmer
Romanticism,50355.jpg,train_and_test,TRUE,View of Passau,wikiart,8411601,3018,4242,panorama,1864,Rudolf von Alt
Impressionism,71149.jpg,train_and_test,TRUE,Columbus in Prison,wikipedia,1998595,3148,4051,genre painting,,Thomas Eakins
Realism,21812.jpg,train_and_test,TRUE,"Group of Actors at Mid Body, the Former French Comedy",wikiart,2065473,2736,4656,genre painting,1865,Honore Daumier
Romanticism,73658.jpg,train_and_test,FALSE,Storm on Lake Garda,wikiart,8705058,3006,4236,landscape,1839,Rudolf von Alt
Romanticism,27639.jpg,train_and_test,TRUE,Portrait of K.G.Ravich,wikiart,8333721,4000,3174,portrait,1823,Vasily Tropinin
Realism,70892.jpg,train_and_test,TRUE,The Honorable John A. Thorton ,wikiart,4909575,3912,3245,portrait,1903,Thomas Eakins
Realism,5217.jpg,train_and_test,FALSE,The Broken Pitcher,wikiart,1933409,4500,2818,portrait,1891,William-Adolphe Bouguereau
Romanticism,17940.jpg,train_and_test,FALSE,Altausseersee with Trisselwand,wikiart,7696428,2988,4236,landscape,1839,Rudolf von Alt
Realism,79050.jpg,train_and_test,FALSE,Portrait of Miss Mary Perkins  ,wikipedia,4309139,3996,3155,portrait,c.1902,Thomas Eakins
Romanticism,49766.jpg,train_and_test,TRUE,A corroboree of natives in Mills Plains ,wikiart,4850983,3134,4001,genre painting,1832,John Glover
Realism,75881.jpg,train_and_test,TRUE,"High Cliff, Coast of Maine",wikiart,3613132,3143,3983,landscape,1894,Winslow Homer
Realism,71922.jpg,train_and_test,TRUE,The Forest Clearing,wikiart,2687846,2880,4316,landscape,1896,Ivan Shishkin
Realism,28789.jpg,train_and_test,TRUE,The Major's Marriage Proposal ,wikiart,6833375,3103,4000,genre painting,1851,Pavel Fedotov
Romanticism,78023.jpg,train_and_test,TRUE,The parish church in Ofen,wikiart,7581105,2922,4242,cityscape,c.1845,Rudolf von Alt
Romanticism,73615.jpg,train_and_test,FALSE,Hallstatt,wikiart,7518081,3018,4098,landscape,1845,Rudolf von Alt
Realism,72083.jpg,train_and_test,TRUE,Portrait of Louise Delphine Duchosal,wikiart,7577641,3846,3204,portrait,1885,Ferdinand Hodler
Realism,70088.jpg,train_and_test,TRUE,La Mort de Jesus  ,wikiart,1316837,4082,3010,illustration,1894,Theophile Steinlen
Romanticism,36027.jpg,train_only,TRUE,Elegant at Billiards,wikiart,3899755,4336,2832,genre painting,1906,Alfred Stevens
Impressionism,35919.jpg,train_and_test,FALSE,Apple Trees in Bloom,wikiart,3146250,2706,4500,landscape,1873,Claude Monet
Realism,3920.jpg,train_and_test,FALSE,Two elegant women,wikiart,542358,3900,3103,sketch and study,,Theophile Steinlen
Realism,67954.jpg,train_and_test,FALSE,The Intermission,wikiart,2046309,3040,3945,genre painting,,Honore Daumier
Impressionism,37664.jpg,train_and_test,FALSE,The fisherman,wikiart,7092761,2964,4044,genre painting,c.1879,Ferdinand Hodler
Romanticism,13273.jpg,train_and_test,TRUE,Danse de fiançailles detail,wikiart,5932606,3998,2998,design,1885,Luc-Olivier Merson
Romanticism,84515.jpg,train_and_test,TRUE,View of Böckstein and the entrance to Anlauftal,wikiart,8209823,2820,4248,landscape,1875,Rudolf von Alt
Romanticism,27205.jpg,train_and_test,TRUE,The Imperial Palace Livadia in the Crimea,wikiart,7463882,2814,4248,landscape,1863,Rudolf von Alt
Realism,60161.jpg,train_and_test,TRUE,"Rome, Castle Sant Angelo",wikiart,1549017,2570,4646,cityscape,c.1827,Camille Corot
Romanticism,70005.jpg,train_and_test,TRUE,"Mato-Tope, Adorned with the Insignia of his Warlike Deeds, plate 14 from Volume 2 of 'Travels in the Interior of North America'",wikiart,2525022,4058,2928,portrait,1843,Karl Bodmer
Impressionism,44296.jpg,train_and_test,FALSE,New England Headlands,wikiart,3761844,3450,3444,landscape,1889,Childe Hassam
Romanticism,7224.jpg,train_and_test,TRUE,Via Appia at Sunset ,wikiart,6482217,2961,4000,landscape,1845,Alexander Ivanov
Impressionism,41682.jpg,train_and_test,TRUE,"Poppy Field, Argenteuil",wikiart,2994688,2961,4000,landscape,1875,Claude Monet
Impressionism,37256.jpg,train_and_test,TRUE,Gardener's House at Antibes,wikiart,3973914,2897,4075,landscape,1888,Claude Monet
Impressionism,54668.jpg,train_only,TRUE,A Lady from Naples,wikiart,1898410,3872,3048,portrait,,Giuseppe de Nittis
Realism,94592.jpg,train_and_test,TRUE,Legs of a Seated Model,wikipedia,2995784,3950,2975,sketch and study,,Thomas Eakins
Realism,67798.jpg,train_and_test,TRUE,In the Fields. Spring,wikiart,8925318,2927,4000,genre painting,,Alexey Venetsianov
Romanticism,75073.jpg,test_only,FALSE,"Take your Son, Sir",wikiart,4699430,4684,2492,genre painting,,Ford Madox Brown
Realism,102940.jpg,train_and_test,TRUE,What is Truth. Christ and Pilate,wikiart,8485060,4000,2915,religious painting,1890,Nikolai Ge
Romanticism,99285.jpg,train_and_test,TRUE,View from the chapel Rosalie,wikiart,5588153,3018,3858,landscape,1837,Rudolf von Alt
Romanticism,64419.jpg,train_and_test,TRUE,"The Travellers Meeting with Minatarre Indians near Fort Clark, plate 26 from Volume 1 of 'Travels in the Interior of North America'",wikiart,3151468,3128,3722,genre painting,1843,Karl Bodmer
Realism,18398.jpg,train_and_test,TRUE,The cobbler by the window,wikiart,7087891,3738,3114,genre painting,1882,Ferdinand Hodler
Romanticism,9158.jpg,train_and_test,TRUE,"Abdih- Hiddisch. A Minatarre Chief, plate 24 from Volume 1 of 'Travels in the Interior of North America'",wikiart,2889280,4080,2848,portrait,1834,Karl Bodmer
Romanticism,57699.jpg,test_only,FALSE,John Wycliffe reading his translation of the Bible to John of Gaunt,wikiart,7241784,2988,3888,religious painting,1847,Ford Madox Brown
Realism,22266.jpg,train_and_test,FALSE,On the banks of the Manzanares,wikiart,9603038,2784,4164,landscape,1878,Ferdinand Hodler
Romanticism,82140.jpg,train_and_test,TRUE,The Black Sea,wikiart,4162857,2870,4000,marina,,Ivan Aivazovsky
Romanticism,50272.jpg,train_and_test,TRUE,Galician gypsies,wikiart,7321431,2844,4026,genre painting,1839,Rudolf von Alt
Romanticism,13889.jpg,train_and_test,TRUE,Self portrait at the age of 35 ,wikiart,7068510,3809,3000,self-portrait,1828,Ferdinand Georg Waldmüller
Realism,28179.jpg,train_and_test,TRUE,Tu te Brules a la Chandelle ,wikiart,1950459,3937,2888,illustration,1900,Theophile Steinlen
Romanticism,2918.jpg,train_and_test,TRUE,"A Blackfoot Indian on Horseback, plate 19 from Volume 1 of 'Travels in the Interior of North America'",wikiart,1934412,3016,3762,genre painting,1843,Karl Bodmer
Romanticism,56135.jpg,train_and_test,FALSE,Nude Maja,wikiart,2516275,2396,4724,nude painting (nu),1800,Francisco Goya
Romanticism,44287.jpg,train_and_test,FALSE,View of Salzburg,wikiart,6016171,3018,3750,cityscape,1831,Rudolf von Alt
Romanticism,28187.jpg,train_and_test,TRUE,"A Skin Lodge of an Assiniboin Chief, plate 16 from Volume 1 of 'Travels in the Interior of North America'",wikiart,1812575,3024,3738,genre painting,1843,Karl Bodmer
Romanticism,74753.jpg,train_and_test,TRUE,Winter village of the Minatarres,wikiart,2976693,3072,3658,landscape,1843,Karl Bodmer
Romanticism,1658.jpg,train_and_test,TRUE,Alyonushka,wikiart,4587554,4000,2808,literary painting,1881,Viktor Vasnetsov
Romanticism,5438.jpg,train_and_test,FALSE,"Mándeh Páhchu, a Young Mandan Indian, plate 24 from Volume 1 of 'Travels in the Interior of North America'",wikiart,2678726,3794,2960,portrait,1843,Karl Bodmer
Romanticism,71143.jpg,train_and_test,FALSE,The Clothed Maja,wikiart,2369286,2375,4724,portrait,1800,Francisco Goya
Impressionism,19464.jpg,train_and_test,TRUE,Floral still life,wikiart,5567342,3240,3444,still life,c.1924,Paul Signac
Impressionism,3016.jpg,train_and_test,TRUE,Ambroise Vollard Portrait,wikiart,5338594,3988,2795,portrait,,Pierre-Auguste Renoir
Realism,78766.jpg,train_and_test,TRUE,Wildflowers,wikiart,7149550,3876,2874,flower painting,c.1906,Odilon Redon
Romanticism,55154.jpg,train_and_test,TRUE,"Horse Racing of Sioux Indians near Fort Pierre, plate 30 from Volume 1 of 'Travels in the Interior of North America'",wikiart,2750067,2960,3762,genre painting,1843,Karl Bodmer
Realism,62530.jpg,train_and_test,TRUE,Ships and Sailboats on the Delaware ,wikiart,7603508,2548,4353,landscape,1874,Thomas Eakins
Impressionism,56641.jpg,train_and_test,TRUE,Sunlight Effect under the Poplars,wikiart,1825788,2968,3698,landscape,1887,Claude Monet
Realism,64311.jpg,train_and_test,TRUE,Portrait of Adam S. Bare  ,wikiart,8078622,3637,3000,portrait,1903,Thomas Eakins
Romanticism,44166.jpg,train_and_test,TRUE,Charlet in Hilterfingen,wikiart,7485178,2832,3846,landscape,1871,Ferdinand Hodler
Impressionism,3632.jpg,train_and_test,TRUE,"New York, Late Afternoon, Winter",wikiart,7014011,4039,2693,cityscape,1900,Childe Hassam
Romanticism,10590.jpg,train_and_test,TRUE,Self-portrait as a young man,wikiart,4485212,4036,2692,self-portrait,1800,Caspar David Friedrich
Romanticism,67530.jpg,train_and_test,TRUE,"Tombs of Assiniboin Indians on Trees, plate 30 from volume 1 of `Travels in the Interior of North America'",wikiart,3396324,3578,3016,landscape,1832,Karl Bodmer
Impressionism,6282.jpg,train_and_test,FALSE,Boats in a port,wikiart,3237554,2688,4000,marina,,Konstantinos Volanakis
Romanticism,23375.jpg,train_and_test,TRUE,"Ischohä Kakoschochatä Dance of the Mandan Indians, plate 25 from Volume 2 of 'Travels in the Interior of North America'",wikiart,2447260,2856,3746,genre painting,1843,Karl Bodmer
Impressionism,52850.jpg,train_and_test,TRUE,"Rouen Cathedral, the Portal, Morning Effect",wikiart,3354401,4000,2674,cityscape,1894,Claude Monet
Realism,90288.jpg,train_and_test,TRUE,Ville d'Avray,wikiart,4928848,2683,3978,landscape,1873,Camille Corot
Realism,38869.jpg,train_and_test,TRUE,Landscape ,wikiart,4292218,2672,3992,landscape,1884,Thomas Eakins
Impressionism,36350.jpg,train_and_test,TRUE,The netmender,wikiart,6651628,3786,2802,genre painting,c.1883,Ferdinand Hodler
Romanticism,39893.jpg,train_and_test,TRUE,The tomb of Emperor Frederick III in the Stephansdom in Vienna,wikiart,7317258,2502,4224,cityscape,1895,Rudolf von Alt
Impressionism,97356.jpg,train_and_test,TRUE,The Allee du Champ de Foire at Argenteuil,wikiart,1209689,2934,3600,landscape,1874,Claude Monet
Realism,94550.jpg,train_and_test,TRUE,Spring Breeze,wikiart,704722,4000,2637,nude painting (nu),1895,William-Adolphe Bouguereau
Realism,9125.jpg,train_and_test,TRUE,A Negress ,wikiart,1294670,3515,3000,portrait,,Thomas Eakins
Impressionism,92192.jpg,train_and_test,TRUE,Repetition of the Dance (detail),wikiart,2485066,3452,3052,genre painting,1877,Edgar Degas
Romanticism,74871.jpg,train_and_test,TRUE,American Shipping off the Rock of Gibraltar,wikiart,2058611,2960,3543,marina,1873,Ivan Aivazovsky
Romanticism,25815.jpg,train_and_test,FALSE,View of Salzburg,wikiart,7131423,2478,4230,cityscape,1897,Rudolf von Alt
Realism,92742.jpg,train_and_test,TRUE,Parade Acrobats,wikiart,2573721,2833,3697,genre painting,,Honore Daumier
Romanticism,100555.jpg,train_and_test,FALSE,The Laboratory,wikiart,2197680,2909,3599,genre painting,1849,Dante Gabriel Rossetti
Realism,77251.jpg,train_and_test,FALSE,Surging through the seas,wikiart,1455938,2874,3633,marina,,Konstantinos Volanakis
Romanticism,90330.jpg,train_only,TRUE,Stormy sea with ship wreck,wikiart,2235276,2774,3754,marina,1857,Marcus Larson
Romanticism,63088.jpg,train_and_test,TRUE,"Dog Sledges of the Mandan Indians, plate 28 from Volume 2 of 'Travels in the Interior of North America' ",wikiart,2562552,2816,3690,genre painting,,Karl Bodmer
Realism,41435.jpg,train_and_test,TRUE,Chess-Players,wikiart,1338782,2838,3637,genre painting,c.1867,Honore Daumier
Romanticism,70111.jpg,train_and_test,TRUE,"Idols of the Mandan Indians, plate 25 from volume 2 of `Travels in the Interior of North America'",wikiart,2572567,3514,2928,landscape,1844,Karl Bodmer
Romanticism,2898.jpg,train_and_test,FALSE,Danse de fiançailles detail,wikiart,5274547,3928,2619,design,1885,Luc-Olivier Merson
Realism,19749.jpg,train_and_test,TRUE,Boarding the Yacht,wikiart,1201894,3775,2717,genre painting,1873,James Tissot
Romanticism,82629.jpg,train_and_test,TRUE,"Offering of the Mandan Indians, plate 14 from Volume 1 of 'Travels in the Interior of North America'",wikiart,1648864,2768,3698,landscape,1843,Karl Bodmer
Romanticism,50266.jpg,train_and_test,TRUE,"Crow Indians, plate 13 from volume 1 of `Travels in the Interior of North America'",wikiart,1765460,2768,3698,genre painting,1843,Karl Bodmer
