Percentages,filename,true classes,predicted classes,style,title,source,size_bytes,pixelsy,pixelsx,genre,date,artist,Year
5.31,99285.jpg,1.0,0.0,Romanticism,View from the chapel Rosalie,wikiart,5588153.0,3018.0,3858.0,landscape,1837,Rudolf von Alt,1837
89.04,64419.jpg,1.0,1.0,Romanticism,"The Travellers Meeting with Minatarre Indians near Fort Clark, plate 26 from Volume 1 of 'Travels in the Interior of North America'",wikiart,3151468.0,3128.0,3722.0,genre painting,1843,Karl Bodmer,1843
44.93,9158.jpg,1.0,0.0,Romanticism,"Abdih- Hiddisch. A Minatarre Chief, plate 24 from Volume 1 of 'Travels in the Interior of North America'",wikiart,2889280.0,4080.0,2848.0,portrait,1834,Karl Bodmer,1834
46.03,57699.jpg,1.0,0.0,Romanticism,John Wycliffe reading his translation of the Bible to John of Gaunt,wikiart,7241784.0,2988.0,3888.0,religious painting,1847,Ford Madox Brown,1847
95.51,82140.jpg,1.0,1.0,Romanticism,The Black Sea,wikiart,4162857.0,2870.0,4000.0,marina,0,Ivan Aivazovsky,1870
12.26,50272.jpg,1.0,0.0,Romanticism,Galician gypsies,wikiart,7321431.0,2844.0,4026.0,genre painting,1839,Rudolf von Alt,1839
38.05,13889.jpg,1.0,0.0,Romanticism,Self portrait at the age of 35 ,wikiart,7068510.0,3809.0,3000.0,self-portrait,1828,Ferdinand Georg Waldmüller,1828
52.86,2918.jpg,1.0,1.0,Romanticism,"A Blackfoot Indian on Horseback, plate 19 from Volume 1 of 'Travels in the Interior of North America'",wikiart,1934412.0,3016.0,3762.0,genre painting,1843,Karl Bodmer,1843
12.23,56135.jpg,1.0,0.0,Romanticism,Nude Maja,wikiart,2516275.0,2396.0,4724.0,nude painting (nu),1800,Francisco Goya,1800
8.86,44287.jpg,1.0,0.0,Romanticism,View of Salzburg,wikiart,6016171.0,3018.0,3750.0,cityscape,1831,Rudolf von Alt,1831
89.05,28187.jpg,1.0,1.0,Romanticism,"A Skin Lodge of an Assiniboin Chief, plate 16 from Volume 1 of 'Travels in the Interior of North America'",wikiart,1812575.0,3024.0,3738.0,genre painting,1843,Karl Bodmer,1843
1.93,74753.jpg,1.0,0.0,Romanticism,Winter village of the Minatarres,wikiart,2976693.0,3072.0,3658.0,landscape,1843,Karl Bodmer,1843
31.5,1658.jpg,1.0,0.0,Romanticism,Alyonushka,wikiart,4587554.0,4000.0,2808.0,literary painting,1881.0,Viktor Vasnetsov,1881
6.46,5438.jpg,1.0,0.0,Romanticism,"Mándeh Páhchu, a Young Mandan Indian, plate 24 from Volume 1 of 'Travels in the Interior of North America'",wikiart,2678726.0,3794.0,2960.0,portrait,1843,Karl Bodmer,1843
22.05,71143.jpg,1.0,0.0,Romanticism,The Clothed Maja,wikiart,2369286.0,2375.0,4724.0,portrait,1800,Francisco Goya,1800
98.5,19464.jpg,0.0,1.0,Impressionism,Floral still life,wikiart,5567342.0,3240.0,3444.0,still life,c.1924,Paul Signac,1924
16.87,3016.jpg,0.0,0.0,Impressionism,Ambroise Vollard Portrait,wikiart,5338594.0,3988.0,2795.0,portrait,0,Pierre-Auguste Renoir,1870
4.59,55154.jpg,1.0,0.0,Romanticism,"Horse Racing of Sioux Indians near Fort Pierre, plate 30 from Volume 1 of 'Travels in the Interior of North America'",wikiart,2750067.0,2960.0,3762.0,genre painting,1843,Karl Bodmer,1843
5.53,56641.jpg,0.0,0.0,Impressionism,Sunlight Effect under the Poplars,wikiart,1825788.0,2968.0,3698.0,landscape,1887,Claude Monet,1887
9.67,44166.jpg,1.0,0.0,Romanticism,Charlet in Hilterfingen,wikiart,7485178.0,2832.0,3846.0,landscape,1871,Ferdinand Hodler,1871
11.74,3632.jpg,0.0,0.0,Impressionism,"New York, Late Afternoon, Winter",wikiart,7014011.0,4039.0,2693.0,cityscape,1900,Childe Hassam,1900
28.17,10590.jpg,1.0,0.0,Romanticism,Self-portrait as a young man,wikiart,4485212.0,4036.0,2692.0,self-portrait,1800,Caspar David Friedrich,1800
25.07,67530.jpg,1.0,0.0,Romanticism,"Tombs of Assiniboin Indians on Trees, plate 30 from volume 1 of `Travels in the Interior of North America'",wikiart,3396324.0,3578.0,3016.0,landscape,1832,Karl Bodmer,1832
17.06,6282.jpg,0.0,0.0,Impressionism,Boats in a port,wikiart,3237554.0,2688.0,4000.0,marina,0,Konstantinos Volanakis,1870
60.02,23375.jpg,1.0,1.0,Romanticism,"Ischohä Kakoschochatä Dance of the Mandan Indians, plate 25 from Volume 2 of 'Travels in the Interior of North America'",wikiart,2447260.0,2856.0,3746.0,genre painting,1843,Karl Bodmer,1843
34.99,52850.jpg,0.0,0.0,Impressionism,"Rouen Cathedral, the Portal, Morning Effect",wikiart,3354401.0,4000.0,2674.0,cityscape,1894,Claude Monet,1894
98.74,36350.jpg,0.0,1.0,Impressionism,The netmender,wikiart,6651628.0,3786.0,2802.0,genre painting,c.1883,Ferdinand Hodler,1883
17.59,39893.jpg,1.0,0.0,Romanticism,The tomb of Emperor Frederick III in the Stephansdom in Vienna,wikiart,7317258.0,2502.0,4224.0,cityscape,1895,Rudolf von Alt,1895
16.53,97356.jpg,0.0,0.0,Impressionism,The Allee du Champ de Foire at Argenteuil,wikiart,1209689.0,2934.0,3600.0,landscape,1874,Claude Monet,1874
4.48,92192.jpg,0.0,0.0,Impressionism,Repetition of the Dance (detail),wikiart,2485066.0,3452.0,3052.0,genre painting,1877,Edgar Degas,1877
83.27,74871.jpg,1.0,1.0,Romanticism,American Shipping off the Rock of Gibraltar,wikiart,2058611.0,2960.0,3543.0,marina,1873,Ivan Aivazovsky,1873
2.06,25815.jpg,1.0,0.0,Romanticism,View of Salzburg,wikiart,7131423.0,2478.0,4230.0,cityscape,1897,Rudolf von Alt,1897
77.11,100555.jpg,1.0,1.0,Romanticism,The Laboratory,wikiart,2197680.0,2909.0,3599.0,genre painting,1849,Dante Gabriel Rossetti,1849
99.43,90330.jpg,1.0,1.0,Romanticism,Stormy sea with ship wreck,wikiart,2235276.0,2774.0,3754.0,marina,1857.0,Marcus Larson,1857
98.09,63088.jpg,1.0,1.0,Romanticism,"Dog Sledges of the Mandan Indians, plate 28 from Volume 2 of 'Travels in the Interior of North America' ",wikiart,2562552.0,2816.0,3690.0,genre painting,0,Karl Bodmer,1870
98.84,70111.jpg,1.0,1.0,Romanticism,"Idols of the Mandan Indians, plate 25 from volume 2 of `Travels in the Interior of North America'",wikiart,2572567.0,3514.0,2928.0,landscape,1844,Karl Bodmer,1844
43.29,2898.jpg,1.0,0.0,Romanticism,Danse de fiançailles detail,wikiart,5274547.0,3928.0,2619.0,design,1885.0,Luc-Olivier Merson,1885
47.61,82629.jpg,1.0,0.0,Romanticism,"Offering of the Mandan Indians, plate 14 from Volume 1 of 'Travels in the Interior of North America'",wikiart,1648864.0,2768.0,3698.0,landscape,1843,Karl Bodmer,1843
78.52,50266.jpg,1.0,1.0,Romanticism,"Crow Indians, plate 13 from volume 1 of `Travels in the Interior of North America'",wikiart,1765460.0,2768.0,3698.0,genre painting,1843,Karl Bodmer,1843
57.54,98622.jpg,0.0,1.0,Impressionism,Under the bridge at Hampton Court,wikiart,6790328.0,2604.0,3912.0,landscape,1874,Alfred Sisley,1874
12.78,82764.jpg,0.0,0.0,Impressionism,Agapanthus Flowers,wikiart,2796622.0,3345.0,3000.0,flower painting,1917,Claude Monet,1917
3.84,84112.jpg,1.0,0.0,Romanticism,Danse de fiançailles detail,wikiart,4609117.0,3656.0,2742.0,design,1885.0,Luc-Olivier Merson,1885
78.81,97158.jpg,1.0,1.0,Romanticism,The Bay of Cattaro in Dalmatia,wikiart,6037188.0,2670.0,3744.0,landscape,1840,Rudolf von Alt,1840
8.01,46324.jpg,0.0,0.0,Impressionism,The Road to Louveciennes Montbuisson,wikiart,4670932.0,2736.0,3648.0,landscape,0,Alfred Sisley,1870
10.27,16621.jpg,1.0,0.0,Romanticism,Mortuary in a palace,wikiart,6342300.0,3162.0,3144.0,interior,c.1850,Rudolf von Alt,1850
6.85,100300.jpg,1.0,0.0,Romanticism,The Opening of Waterloo Bridge seen from Whitehall Stairs,wikiart,1538527.0,2427.0,4096.0,history painting,c.1832,John Constable,1832
76.63,99218.jpg,1.0,1.0,Romanticism,Fair Rosamund,wikiart,3254465.0,3508.0,2832.0,portrait,1861,Dante Gabriel Rossetti,1861
83.96,47410.jpg,1.0,1.0,Romanticism,"Washinga Saba's grave on Blackbirds hill, plate 12 from Volume 2 of 'Travels in the Interior of North America'",wikiart,1724392.0,2704.0,3658.0,landscape,1843,Karl Bodmer,1843
5.18,46637.jpg,1.0,0.0,Romanticism,Castellammare on the Gulf of Naples,wikiart,6154737.0,2652.0,3720.0,landscape,1835,Rudolf von Alt,1835
5.9,46868.jpg,0.0,0.0,Impressionism,Channel at Allèe Verte in Brussels,wikiart,5638892.0,2502.0,3912.0,cityscape,1871,Eugene Boudin,1871
2.14,72004.jpg,1.0,0.0,Romanticism,Kateryna,wikiart,4706229.0,3771.0,2590.0,literary painting,1842.0,Taras Shevchenko,1842
85.61,4519.jpg,1.0,1.0,Romanticism,Home from the Sea,wikiart,3924430.0,2751.0,3543.0,genre painting,1862,Arthur Hughes,1862
68.97,64947.jpg,0.0,1.0,Impressionism,Village Outskirts,wikiart,3219895.0,3462.0,2799.0,landscape,0,Kimon Loghi,1870
9.25,59656.jpg,1.0,0.0,Romanticism,Saint Cecilia,wikiart,1258344.0,2434.0,3930.0,religious painting,1895,John William Waterhouse,1895
6.49,95078.jpg,1.0,0.0,Romanticism,The Burning of the Houses of Parliament,wikiart,1813663.0,2651.0,3577.0,cityscape,1834,William Turner,1834
48.67,8320.jpg,1.0,0.0,Romanticism,Traunsee with Orth-castle,wikipedia,5289058.0,2781.0,3400.0,landscape,c.1830,Ferdinand Georg Waldmüller,1830
68.55,62893.jpg,1.0,1.0,Romanticism,"The ""Fighting Temeraire"" Tugged to her Last Berth to be Broken up",wikiart,1613618.0,2648.0,3570.0,marina,c.1839,William Turner,1839
90.0,31790.jpg,1.0,1.0,Romanticism,"Rain Steam and Speed, The Great Western Railway",wikiart,1719660.0,2648.0,3567.0,landscape,0,William Turner,1870
90.67,77838.jpg,1.0,1.0,Romanticism,The Castle of San Lorenzo in Ragusa,wikiart,4971731.0,2676.0,3528.0,landscape,1840,Rudolf von Alt,1840
16.2,30259.jpg,1.0,0.0,Romanticism,Paul Alexis Reading at Zola's House,wikiart,713766.0,2964.0,3176.0,portrait,1870,Paul Cezanne,1870
51.91,64191.jpg,1.0,1.0,Romanticism,Winter landscape,wikiart,5487115.0,2596.0,3600.0,landscape,c.1811,Caspar David Friedrich,1811
40.65,28555.jpg,1.0,0.0,Romanticism,"Mahsette-Kuiuab, Chief of the Cree Indians, plate 22 from volume 1 of `Travels in the Interior of North America'",wikiart,1224603.0,3554.0,2608.0,portrait,1843,Karl Bodmer,1843
3.4,7432.jpg,1.0,0.0,Romanticism,"Mexkemahuastan, Chief of the Gros-Ventres of the Prairies, plate 20 from Volume 1 of 'Travels in the Interior of North America'",wikiart,1480949.0,3498.0,2608.0,portrait,1843,Karl Bodmer,1843
45.58,95763.jpg,1.0,0.0,Romanticism,Destruction of the Temple of Jerusalem ,wikiart,7309015.0,2603.0,3500.0,religious painting,1867,Francesco Hayez,1867
70.66,34200.jpg,0.0,1.0,Impressionism,River steamboat and bridge,wikiart,5999063.0,2760.0,3294.0,landscape,1871,Alfred Sisley,1871
92.77,95347.jpg,1.0,1.0,Romanticism,Robin of Modern Times,wikiart,1897475.0,2138.0,4249.0,genre painting,1860,John Roddam Spencer Stanhope,1860
96.83,52023.jpg,0.0,1.0,Impressionism,Haystack at Giverny,wikipedia,5926384.0,2591.0,3500.0,landscape,1886,Claude Monet,1886
58.67,54454.jpg,1.0,1.0,Romanticism,The Merciful Knight,wikiart,2463021.0,3684.0,2459.0,religious painting,1863,Edward Burne-Jones,1863
69.25,87071.jpg,1.0,1.0,Romanticism,E. Komarovsky,wikiart,4984852.0,3356.0,2697.0,portrait,1823,Orest Kiprensky,1823
