style,new_filename,title,source,size_bytes,pixelsy,pixelsx,genre,date,artist
Romanticism,99889.jpg,"Wahk-Ta-Ge-Li, a Sioux Warrior, plate 8 from Volume 2 of 'Travels in the Interior of North America'",wikiart,3700164.0,4755.0,3376.0,portrait,1844,Karl Bodmer
Romanticism,50480.jpg,"A Missouri Indian, an Oto Indian and the Chief of the Puncas, plate 7 from 'Travels in the Interior of North America'",wikiart,2790279.0,3528.0,4410.0,portrait,1844,Karl Bodmer
Romanticism,39644.jpg,View of Bad Gastein,wikiart,10202901.0,4572.0,3342.0,landscape,1888,Rudolf von Alt
Romanticism,101078.jpg,At the Jonction,wikiart,9527119.0,3246.0,4704.0,landscape,c.1880,Ferdinand Hodler
Impressionism,85018.jpg,Sitting Girl,wikiart,8423735.0,3396.0,4476.0,sketch and study,1917,Pierre-Auguste Renoir
Romanticism,46316.jpg,"Encampment of the Piekann Indians, plate 43 from Volume 2 of 'Travels in the Interior of North America'",wikiart,3213039.0,3288.0,4562.0,genre painting,1844,Karl Bodmer
Impressionism,81912.jpg,The Look at Montauban in rain,wikiart,8710775.0,3348.0,4470.0,landscape,c.1922,Paul Signac
Impressionism,17146.jpg,Prayer in the Saint Pierre Cathedral in Geneva,wikiart,9477034.0,4548.0,3240.0,genre painting,1882,Ferdinand Hodler
Romanticism,44054.jpg,"Noapeh, an Assiniboin Indian and Psihdja-Sahpa, a Yanktonan Indian, plate 12 from Volume 2 of 'Travels in the Interior of North America'",wikiart,3096063.0,3384.0,4322.0,portrait,1844,Karl Bodmer
Romanticism,49235.jpg,View of the Ducal Palace in Venice,wikiart,9717534.0,3438.0,4248.0,cityscape,1874,Rudolf von Alt
Romanticism,79781.jpg,"Pehriska-Ruhpa, Minatarre Warrior in the Costume of the Dog Dance, plate 23 from Volume 2 of 'Travels in the Interior of North America'",wikiart,3682091.0,4466.0,3256.0,genre painting,1844,Karl Bodmer
Impressionism,66594.jpg,Seamstress,wikiart,9468048.0,4284.0,3384.0,genre painting,1885,Ferdinand Hodler
Romanticism,82310.jpg,The Duke of Wellington,wikiart,4770134.0,4226.0,3406.0,portrait,1814,Francisco Goya
Romanticism,39533.jpg,Reading the Will ,wikipedia,7374950.0,3042.0,4692.0,genre painting,1821,David Wilkie
Romanticism,95359.jpg,Mandan indians,wikiart,3882309.0,4194.0,3392.0,portrait,1843,Karl Bodmer
Impressionism,5241.jpg,Girl with Peaches ,wikiart,7852273.0,4000.0,3555.0,portrait,1887.0,Valentin Serov
Romanticism,25503.jpg,Louis Antoine de Saint Just,wikiart,1242179.0,4387.0,3212.0,portrait,1793,Pierre-Paul Prud'hon
Romanticism,89279.jpg,"Chief of the Blood Indians, War Chief of the Piekann Indians and a Koutani Indian, plate 46 from Volume 2 of 'Travels in the Interior of North America'",wikiart,3165793.0,3240.0,4338.0,portrait,1844,Karl Bodmer
Romanticism,25251.jpg,The Subsiding of the Waters of the Deluge,wikiart,4728256.0,3240.0,4320.0,landscape,1829,Thomas Cole
Impressionism,8943.jpg,Samoëns,wikiart,8639906.0,3258.0,4296.0,cityscape,c.1882,Ferdinand Hodler
Romanticism,35557.jpg,The St. Stephen's Cathedral in Vienna,wikiart,9442520.0,4818.0,2880.0,cityscape,1847,Rudolf von Alt
Romanticism,19040.jpg,Portrait of Alexander Pushkin ,wikiart,10862180.0,4000.0,3455.0,portrait,1827,Orest Kiprensky
Romanticism,1049.jpg,Purrumbete from across the lake ,wikiart,3375727.0,2862.0,4793.0,landscape,1858.0,Eugene von Guerard
Impressionism,22289.jpg,The banks of the Loing Moret,wikiart,7207696.0,3042.0,4476.0,landscape,1885,Alfred Sisley
Impressionism,8250.jpg,Le Havre with rain clouds,wikiart,7731924.0,3036.0,4482.0,cityscape,1922,Paul Signac
Romanticism,47312.jpg,The main square in Bratislava,wikiart,9044942.0,3204.0,4236.0,cityscape,1843,Rudolf von Alt
Romanticism,32252.jpg,View of Ragusa,wikiart,6971764.0,3276.0,4122.0,landscape,1841,Rudolf von Alt
Romanticism,81776.jpg,"Woman of the Snake tribe and woman of the Cree tribe, plate 33  from Volume 1 of 'Travels in the Interior of North America'",wikiart,2610544.0,3240.0,4162.0,portrait,1832,Karl Bodmer
Romanticism,25480.jpg,Interior in Palace Windischgratz in the race in Vienna,wikiart,8415204.0,3174.0,4242.0,interior,1848,Rudolf von Alt
Romanticism,56338.jpg,The iron foundry in Kitschelt Skodagasse in Vienna,wikiart,9360592.0,3174.0,4242.0,cityscape,1903,Rudolf von Alt
Impressionism,99956.jpg,Seated bearded man,wikiart,8758806.0,4536.0,2964.0,portrait,1884,Ferdinand Hodler
Romanticism,85839.jpg,"A Mandan village, plate 16 from Volume 1 of 'Travels in the Interior of North America'",wikiart,2973213.0,3280.0,4090.0,landscape,1843,Karl Bodmer
Romanticism,30031.jpg,Count Casimir Batthyány in his saloon at Castle Siklós,wikiart,9332308.0,3174.0,4224.0,genre painting,1844,Rudolf von Alt
Romanticism,28530.jpg,"Funeral Scaffold of a Sioux Chief near Fort Pierre, plate 11 from Volume 2 of 'Travels in the Interior of North America'",wikiart,3224183.0,3344.0,3986.0,genre painting,1844,Karl Bodmer
Romanticism,16339.jpg,The Pia of Tolomei,wikiart,8741918.0,3426.0,3882.0,literary painting,1880,Dante Gabriel Rossetti
Romanticism,47838.jpg,View of Klosterneuburg,wikiart,8833470.0,3690.0,3600.0,cityscape,1890,Rudolf von Alt
Romanticism,38694.jpg,The courtyard of the Doge's Palace in Venice,wikiart,9216608.0,3132.0,4230.0,cityscape,1867,Rudolf von Alt
Romanticism,23382.jpg,A portrait of a young girl ,wikiart,1910217.0,4041.0,3278.0,portrait,1889.0,Leon Bonnat
Romanticism,186.jpg,Lake Traun,wikiart,7063983.0,3258.0,4056.0,landscape,1840,Rudolf von Alt
Romanticism,40401.jpg,Study of a Dapple Grey,wikiart,3591444.0,3287.0,4019.0,animal painting,1824,Theodore Gericault
Romanticism,88229.jpg,"Dr. Washington Epps, My Doctor",wikiart,2562976.0,3884.0,3383.0,portrait,1885,Sir Lawrence Alma-Tadema
Romanticism,50103.jpg,The Town Hall in Mödling,wikiart,7830740.0,3102.0,4224.0,cityscape,1842,Rudolf von Alt
Impressionism,93353.jpg,At the Beach in Nice,wikiart,693550.0,2907.0,4480.0,genre painting,1882,Berthe Morisot
Romanticism,28188.jpg,The Basilica of Santa Maria Maggiore in Rome,wikiart,7209113.0,3198.0,4062.0,cityscape,1837,Rudolf von Alt
Romanticism,4771.jpg,Portrait of Alexander Chelishchev,wikiart,4791295.0,4000.0,3218.0,portrait,c.1809,Orest Kiprensky
Impressionism,95477.jpg,Saint Paul de Vence,wikiart,6325370.0,2856.0,4506.0,landscape,c.1921,Paul Signac
Romanticism,97187.jpg,View from the Monastery of Sant 'Onofrio in Rome,wikiart,8610981.0,3036.0,4236.0,cityscape,1835,Rudolf von Alt
Romanticism,31199.jpg,Motif from Goisern,wikiart,8963868.0,3036.0,4230.0,genre painting,1903,Rudolf von Alt
Romanticism,55370.jpg,Scalp dance of the Minatarres,wikiart,2587021.0,3156.0,4064.0,genre painting,1843,Karl Bodmer
Romanticism,50355.jpg,View of Passau,wikiart,8411601.0,3018.0,4242.0,panorama,1864,Rudolf von Alt
Impressionism,71149.jpg,Columbus in Prison,wikipedia,1998595.0,3148.0,4051.0,genre painting,,Thomas Eakins
Romanticism,73658.jpg,Storm on Lake Garda,wikiart,8705058.0,3006.0,4236.0,landscape,1839,Rudolf von Alt
Romanticism,27639.jpg,Portrait of K.G.Ravich,wikiart,8333721.0,4000.0,3174.0,portrait,1823,Vasily Tropinin
Romanticism,17940.jpg,Altausseersee with Trisselwand,wikiart,7696428.0,2988.0,4236.0,landscape,1839,Rudolf von Alt
Romanticism,49766.jpg,A corroboree of natives in Mills Plains ,wikiart,4850983.0,3134.0,4001.0,genre painting,1832.0,John Glover
Romanticism,78023.jpg,The parish church in Ofen,wikiart,7581105.0,2922.0,4242.0,cityscape,c.1845,Rudolf von Alt
Romanticism,73615.jpg,Hallstatt,wikiart,7518081.0,3018.0,4098.0,landscape,1845,Rudolf von Alt
Romanticism,36027.jpg,Elegant at Billiards,wikiart,3899755.0,4336.0,2832.0,genre painting,1906,Alfred Stevens
Impressionism,35919.jpg,Apple Trees in Bloom,wikiart,3146250.0,2706.0,4500.0,landscape,1873,Claude Monet
Impressionism,37664.jpg,The fisherman,wikiart,7092761.0,2964.0,4044.0,genre painting,c.1879,Ferdinand Hodler
Romanticism,13273.jpg,Danse de fiançailles detail,wikiart,5932606.0,3998.0,2998.0,design,1885.0,Luc-Olivier Merson
Romanticism,84515.jpg,View of Böckstein and the entrance to Anlauftal,wikiart,8209823.0,2820.0,4248.0,landscape,1875,Rudolf von Alt
Romanticism,27205.jpg,The Imperial Palace Livadia in the Crimea,wikiart,7463882.0,2814.0,4248.0,landscape,1863,Rudolf von Alt
Romanticism,70005.jpg,"Mato-Tope, Adorned with the Insignia of his Warlike Deeds, plate 14 from Volume 2 of 'Travels in the Interior of North America'",wikiart,2525022.0,4058.0,2928.0,portrait,1843,Karl Bodmer
Impressionism,44296.jpg,New England Headlands,wikiart,3761844.0,3450.0,3444.0,landscape,1889,Childe Hassam
Romanticism,7224.jpg,Via Appia at Sunset ,wikiart,6482217.0,2961.0,4000.0,landscape,1845,Alexander Ivanov
Impressionism,41682.jpg,"Poppy Field, Argenteuil",wikiart,2994688.0,2961.0,4000.0,landscape,1875,Claude Monet
Impressionism,37256.jpg,Gardener's House at Antibes,wikiart,3973914.0,2897.0,4075.0,landscape,1888,Claude Monet
Impressionism,54668.jpg,A Lady from Naples,wikiart,1898410.0,3872.0,3048.0,portrait,,Giuseppe de Nittis
Romanticism,75073.jpg,"Take your Son, Sir",wikiart,4699430.0,4684.0,2492.0,genre painting,,Ford Madox Brown
Romanticism,99285.jpg,View from the chapel Rosalie,wikiart,5588153.0,3018.0,3858.0,landscape,1837,Rudolf von Alt
Romanticism,64419.jpg,"The Travellers Meeting with Minatarre Indians near Fort Clark, plate 26 from Volume 1 of 'Travels in the Interior of North America'",wikiart,3151468.0,3128.0,3722.0,genre painting,1843,Karl Bodmer
Romanticism,9158.jpg,"Abdih- Hiddisch. A Minatarre Chief, plate 24 from Volume 1 of 'Travels in the Interior of North America'",wikiart,2889280.0,4080.0,2848.0,portrait,1834,Karl Bodmer
Romanticism,57699.jpg,John Wycliffe reading his translation of the Bible to John of Gaunt,wikiart,7241784.0,2988.0,3888.0,religious painting,1847,Ford Madox Brown
Romanticism,82140.jpg,The Black Sea,wikiart,4162857.0,2870.0,4000.0,marina,,Ivan Aivazovsky
Romanticism,50272.jpg,Galician gypsies,wikiart,7321431.0,2844.0,4026.0,genre painting,1839,Rudolf von Alt
Romanticism,13889.jpg,Self portrait at the age of 35 ,wikiart,7068510.0,3809.0,3000.0,self-portrait,1828,Ferdinand Georg Waldmüller
Romanticism,2918.jpg,"A Blackfoot Indian on Horseback, plate 19 from Volume 1 of 'Travels in the Interior of North America'",wikiart,1934412.0,3016.0,3762.0,genre painting,1843,Karl Bodmer
Romanticism,56135.jpg,Nude Maja,wikiart,2516275.0,2396.0,4724.0,nude painting (nu),1800,Francisco Goya
Romanticism,44287.jpg,View of Salzburg,wikiart,6016171.0,3018.0,3750.0,cityscape,1831,Rudolf von Alt
Romanticism,28187.jpg,"A Skin Lodge of an Assiniboin Chief, plate 16 from Volume 1 of 'Travels in the Interior of North America'",wikiart,1812575.0,3024.0,3738.0,genre painting,1843,Karl Bodmer
Romanticism,74753.jpg,Winter village of the Minatarres,wikiart,2976693.0,3072.0,3658.0,landscape,1843,Karl Bodmer
Romanticism,1658.jpg,Alyonushka,wikiart,4587554.0,4000.0,2808.0,literary painting,1881.0,Viktor Vasnetsov
Romanticism,5438.jpg,"Mándeh Páhchu, a Young Mandan Indian, plate 24 from Volume 1 of 'Travels in the Interior of North America'",wikiart,2678726.0,3794.0,2960.0,portrait,1843,Karl Bodmer
Romanticism,71143.jpg,The Clothed Maja,wikiart,2369286.0,2375.0,4724.0,portrait,1800,Francisco Goya
Impressionism,19464.jpg,Floral still life,wikiart,5567342.0,3240.0,3444.0,still life,c.1924,Paul Signac
Impressionism,3016.jpg,Ambroise Vollard Portrait,wikiart,5338594.0,3988.0,2795.0,portrait,,Pierre-Auguste Renoir
Romanticism,55154.jpg,"Horse Racing of Sioux Indians near Fort Pierre, plate 30 from Volume 1 of 'Travels in the Interior of North America'",wikiart,2750067.0,2960.0,3762.0,genre painting,1843,Karl Bodmer
Impressionism,56641.jpg,Sunlight Effect under the Poplars,wikiart,1825788.0,2968.0,3698.0,landscape,1887,Claude Monet
Romanticism,44166.jpg,Charlet in Hilterfingen,wikiart,7485178.0,2832.0,3846.0,landscape,1871,Ferdinand Hodler
Impressionism,3632.jpg,"New York, Late Afternoon, Winter",wikiart,7014011.0,4039.0,2693.0,cityscape,1900,Childe Hassam
Romanticism,10590.jpg,Self-portrait as a young man,wikiart,4485212.0,4036.0,2692.0,self-portrait,1800,Caspar David Friedrich
Romanticism,67530.jpg,"Tombs of Assiniboin Indians on Trees, plate 30 from volume 1 of `Travels in the Interior of North America'",wikiart,3396324.0,3578.0,3016.0,landscape,1832,Karl Bodmer
Impressionism,6282.jpg,Boats in a port,wikiart,3237554.0,2688.0,4000.0,marina,,Konstantinos Volanakis
Romanticism,23375.jpg,"Ischohä Kakoschochatä Dance of the Mandan Indians, plate 25 from Volume 2 of 'Travels in the Interior of North America'",wikiart,2447260.0,2856.0,3746.0,genre painting,1843,Karl Bodmer
Impressionism,52850.jpg,"Rouen Cathedral, the Portal, Morning Effect",wikiart,3354401.0,4000.0,2674.0,cityscape,1894,Claude Monet
Impressionism,36350.jpg,The netmender,wikiart,6651628.0,3786.0,2802.0,genre painting,c.1883,Ferdinand Hodler
Romanticism,39893.jpg,The tomb of Emperor Frederick III in the Stephansdom in Vienna,wikiart,7317258.0,2502.0,4224.0,cityscape,1895,Rudolf von Alt
Impressionism,97356.jpg,The Allee du Champ de Foire at Argenteuil,wikiart,1209689.0,2934.0,3600.0,landscape,1874,Claude Monet
Impressionism,92192.jpg,Repetition of the Dance (detail),wikiart,2485066.0,3452.0,3052.0,genre painting,1877,Edgar Degas
Romanticism,74871.jpg,American Shipping off the Rock of Gibraltar,wikiart,2058611.0,2960.0,3543.0,marina,1873,Ivan Aivazovsky
Romanticism,25815.jpg,View of Salzburg,wikiart,7131423.0,2478.0,4230.0,cityscape,1897,Rudolf von Alt
Romanticism,100555.jpg,The Laboratory,wikiart,2197680.0,2909.0,3599.0,genre painting,1849,Dante Gabriel Rossetti
Romanticism,90330.jpg,Stormy sea with ship wreck,wikiart,2235276.0,2774.0,3754.0,marina,1857.0,Marcus Larson
Romanticism,63088.jpg,"Dog Sledges of the Mandan Indians, plate 28 from Volume 2 of 'Travels in the Interior of North America' ",wikiart,2562552.0,2816.0,3690.0,genre painting,,Karl Bodmer
Romanticism,70111.jpg,"Idols of the Mandan Indians, plate 25 from volume 2 of `Travels in the Interior of North America'",wikiart,2572567.0,3514.0,2928.0,landscape,1844,Karl Bodmer
Romanticism,2898.jpg,Danse de fiançailles detail,wikiart,5274547.0,3928.0,2619.0,design,1885.0,Luc-Olivier Merson
Romanticism,82629.jpg,"Offering of the Mandan Indians, plate 14 from Volume 1 of 'Travels in the Interior of North America'",wikiart,1648864.0,2768.0,3698.0,landscape,1843,Karl Bodmer
Romanticism,50266.jpg,"Crow Indians, plate 13 from volume 1 of `Travels in the Interior of North America'",wikiart,1765460.0,2768.0,3698.0,genre painting,1843,Karl Bodmer
Impressionism,98622.jpg,Under the bridge at Hampton Court,wikiart,6790328.0,2604.0,3912.0,landscape,1874,Alfred Sisley
Impressionism,82764.jpg,Agapanthus Flowers,wikiart,2796622.0,3345.0,3000.0,flower painting,1917,Claude Monet
Romanticism,84112.jpg,Danse de fiançailles detail,wikiart,4609117.0,3656.0,2742.0,design,1885.0,Luc-Olivier Merson
Romanticism,97158.jpg,The Bay of Cattaro in Dalmatia,wikiart,6037188.0,2670.0,3744.0,landscape,1840,Rudolf von Alt
Impressionism,46324.jpg,The Road to Louveciennes Montbuisson,wikiart,4670932.0,2736.0,3648.0,landscape,,Alfred Sisley
Romanticism,16621.jpg,Mortuary in a palace,wikiart,6342300.0,3162.0,3144.0,interior,c.1850,Rudolf von Alt
Romanticism,100300.jpg,The Opening of Waterloo Bridge seen from Whitehall Stairs,wikiart,1538527.0,2427.0,4096.0,history painting,c.1832,John Constable
Romanticism,99218.jpg,Fair Rosamund,wikiart,3254465.0,3508.0,2832.0,portrait,1861,Dante Gabriel Rossetti
Romanticism,47410.jpg,"Washinga Saba's grave on Blackbirds hill, plate 12 from Volume 2 of 'Travels in the Interior of North America'",wikiart,1724392.0,2704.0,3658.0,landscape,1843,Karl Bodmer
Romanticism,46637.jpg,Castellammare on the Gulf of Naples,wikiart,6154737.0,2652.0,3720.0,landscape,1835,Rudolf von Alt
Impressionism,46868.jpg,Channel at Allèe Verte in Brussels,wikiart,5638892.0,2502.0,3912.0,cityscape,1871,Eugene Boudin
Romanticism,72004.jpg,Kateryna,wikiart,4706229.0,3771.0,2590.0,literary painting,1842.0,Taras Shevchenko
Romanticism,4519.jpg,Home from the Sea,wikiart,3924430.0,2751.0,3543.0,genre painting,1862,Arthur Hughes
Impressionism,64947.jpg,Village Outskirts,wikiart,3219895.0,3462.0,2799.0,landscape,,Kimon Loghi
Romanticism,59656.jpg,Saint Cecilia,wikiart,1258344.0,2434.0,3930.0,religious painting,1895,John William Waterhouse
Romanticism,95078.jpg,The Burning of the Houses of Parliament,wikiart,1813663.0,2651.0,3577.0,cityscape,1834,William Turner
Romanticism,8320.jpg,Traunsee with Orth-castle,wikipedia,5289058.0,2781.0,3400.0,landscape,c.1830,Ferdinand Georg Waldmüller
Romanticism,62893.jpg,"The ""Fighting Temeraire"" Tugged to her Last Berth to be Broken up",wikiart,1613618.0,2648.0,3570.0,marina,c.1839,William Turner
Romanticism,31790.jpg,"Rain Steam and Speed, The Great Western Railway",wikiart,1719660.0,2648.0,3567.0,landscape,,William Turner
Romanticism,77838.jpg,The Castle of San Lorenzo in Ragusa,wikiart,4971731.0,2676.0,3528.0,landscape,1840,Rudolf von Alt
Romanticism,30259.jpg,Paul Alexis Reading at Zola's House,wikiart,713766.0,2964.0,3176.0,portrait,1870,Paul Cezanne
Romanticism,64191.jpg,Winter landscape,wikiart,5487115.0,2596.0,3600.0,landscape,c.1811,Caspar David Friedrich
Romanticism,28555.jpg,"Mahsette-Kuiuab, Chief of the Cree Indians, plate 22 from volume 1 of `Travels in the Interior of North America'",wikiart,1224603.0,3554.0,2608.0,portrait,1843,Karl Bodmer
Romanticism,7432.jpg,"Mexkemahuastan, Chief of the Gros-Ventres of the Prairies, plate 20 from Volume 1 of 'Travels in the Interior of North America'",wikiart,1480949.0,3498.0,2608.0,portrait,1843,Karl Bodmer
Romanticism,95763.jpg,Destruction of the Temple of Jerusalem ,wikiart,7309015.0,2603.0,3500.0,religious painting,1867,Francesco Hayez
Impressionism,34200.jpg,River steamboat and bridge,wikiart,5999063.0,2760.0,3294.0,landscape,1871,Alfred Sisley
Romanticism,95347.jpg,Robin of Modern Times,wikiart,1897475.0,2138.0,4249.0,genre painting,1860,John Roddam Spencer Stanhope
Impressionism,52023.jpg,Haystack at Giverny,wikipedia,5926384.0,2591.0,3500.0,landscape,1886,Claude Monet
Romanticism,54454.jpg,The Merciful Knight,wikiart,2463021.0,3684.0,2459.0,religious painting,1863,Edward Burne-Jones
Romanticism,87071.jpg,E. Komarovsky,wikiart,4984852.0,3356.0,2697.0,portrait,1823,Orest Kiprensky
Romanticism,4742.jpg,"Pachtuwa-Chta, an Arrikkara Warrior, plate 27 from Volume 1 of 'Travels in the Interior of North America'",wikiart,2169173.0,3482.0,2584.0,portrait,1843,Karl Bodmer
Romanticism,10331.jpg,"Ptihn-Tak-Ochata, Dance of the Mandan Women, plate 28 from Volume 1 of 'Travels in the Interior of North America'",wikiart,2068626.0,2584.0,3482.0,genre painting,1843,Karl Bodmer
Romanticism,49287.jpg,Interior view of the Palm House of Lednice Castle,wikiart,6963983.0,2559.0,3500.0,interior,1842,Rudolf von Alt
Impressionism,21276.jpg,Spring on West 78th Street,wikiart,3238154.0,3192.0,2800.0,cityscape,1905,Childe Hassam
Romanticism,33192.jpg,"Study of heads, figures, and foliage",wikiart,2743130.0,3620.0,2437.0,sketch and study,,Caspar David Friedrich
Impressionism,48925.jpg,Breton harbour,wikiart,5556119.0,2652.0,3324.0,landscape,c.1879,Odilon Redon
Romanticism,98496.jpg,A Silent Greeting,wikiart,3656256.0,3450.0,2545.0,genre painting,1889,Sir Lawrence Alma-Tadema
Romanticism,14968.jpg,Wienerwald landscape with Wildegg castle,wikipedia,4246417.0,2643.0,3300.0,landscape,1855,Ferdinand Georg Waldmüller
Romanticism,94284.jpg,Hesiod and the Muse,wikiart,1139705.0,3421.0,2536.0,mythological painting,,Eugene Delacroix
Romanticism,95275.jpg,Lieutenant-General William Stuart,wikipedia,5754242.0,3216.0,2686.0,portrait,,Henry Raeburn
Romanticism,14673.jpg,Frederic Chopin ,wikiart,818509.0,3391.0,2536.0,portrait,1838,Eugene Delacroix
Impressionism,99133.jpg,The Ballet Class,wikiart,1940855.0,3156.0,2715.0,genre painting,1874,Edgar Degas
Impressionism,52238.jpg,Portrait after a Costume Ball (Portrait of Madame Dietz Monnin),wikiart,1773407.0,3148.0,2717.0,portrait,1879,Edgar Degas
Romanticism,72449.jpg, Self-Portrait,wikiart,2260529.0,3555.0,2400.0,self-portrait,,David Wilkie
Impressionism,36439.jpg,Child with crown,wikiart,1768655.0,3306.0,2576.0,genre painting,,Pericles Pantazis 
Romanticism,56587.jpg,Elizabeth Siddal Seated at an Easel,wikiart,1274467.0,3700.0,2299.0,sketch and study,1852,Dante Gabriel Rossetti
Impressionism,28824.jpg,Haystacks,wikipedia,2236847.0,2428.0,3500.0,landscape,,"White Frost, Sunrise"
Romanticism,26233.jpg,"Punka Indians Encamped on the Banks of the Missouri, plate 11 from volume 1 of `Travels in the Interior of North America'",wikiart,1778201.0,2608.0,3242.0,landscape,1843,Karl Bodmer
Impressionism,90572.jpg,The Temptation of St. Anthony,wikiart,881970.0,2662.0,3176.0,religious painting,c.1877,Paul Cezanne
Impressionism,80463.jpg,Portrait of Madame Cezanne ,wikiart,919339.0,3322.0,2536.0,portrait,1878,Paul Cezanne
Romanticism,92952.jpg,The sleep of reason produces monsters,wikipedia,2683681.0,3510.0,2391.0,capriccio,1799,Francisco Goya
Impressionism,26042.jpg,Portrait of Victor Chocquet ,wikiart,953453.0,3309.0,2536.0,portrait,1877,Paul Cezanne
Impressionism,20090.jpg,The pond of the Jas de Bouffan ,wikiart,908410.0,3303.0,2536.0,landscape,1878,Paul Cezanne
Romanticism,1431.jpg,The Murder,wikiart,496220.0,2637.0,3176.0,genre painting,c.1868,Paul Cezanne
Impressionism,100236.jpg,Omnibus,wikiart,1847571.0,3556.0,2351.0,genre painting,1893,Anders Zorn
Impressionism,16692.jpg,Bathers,wikiart,1074899.0,2623.0,3176.0,genre painting,1875,Paul Cezanne
Impressionism,86549.jpg,The Nile at Aswan,wikipedia,4806918.0,2514.0,3300.0,landscape,1914.0,Max Slevogt
Impressionism,20440.jpg,Portrait of an Actress in Eighteenth Century Dress,wikiart,1830767.0,3217.0,2575.0,portrait,c.1883,James Tissot
Romanticism,80605.jpg,Hunt,wikipedia,1587096.0,3326.0,2490.0,portrait,,Dante Gabriel Rossetti
Romanticism,5199.jpg,Portrait of Dante Gabriel Rossetti ,wikiart,1587100.0,3326.0,2490.0,portrait,1853,William Holman Hunt
Romanticism,81256.jpg,Rock in the Forest of Fontainbleau,wikiart,1054598.0,3261.0,2536.0,landscape,1868,Paul Cezanne
Impressionism,64480.jpg,The Eternal Woman,wikiart,958500.0,2600.0,3176.0,symbolic painting,1877,Paul Cezanne
Impressionism,8521.jpg,Self-portrait,wikiart,635225.0,3249.0,2536.0,self-portrait,1875,Paul Cezanne
Impressionism,63776.jpg,The Seine at Bercy,wikiart,1048586.0,2590.0,3176.0,cityscape,1878,Paul Cezanne
Romanticism,13613.jpg,La Descente de croix ,wikiart,1535951.0,2165.0,3796.0,religious painting,1855.0,Theodore Chasseriau
Romanticism,72536.jpg,Silver Favourites,wikiart,3238267.0,3488.0,2356.0,genre painting,1903,Sir Lawrence Alma-Tadema
Impressionism,98645.jpg,Woman Leaving Her Bath,wikiart,2113936.0,3139.0,2616.0,nude painting (nu),1898,Edgar Degas
